Monat/Jahr; Geschäftsklima_index_saison_bereinigt;Geschäftslage_index_saison_bereinigt;Geschäftserwartungen_index_saison_bereinigt; Geschäftsklima_salden_saison_bereinigt;Geschäftslage_salden_saison_bereinigt;Geschäftserwartungen_salden_saison_bereinigt;ifo_geschäftsunsicherheit;wahrscheinlichkeit_expansive_entwicklung
 08/2023;85,9;88,9;83,0;-12,2;2,6;-25,9;65,7;2,6
 09/2023;86,1;88,8;83,6;-11,7;2,3;-24,7;65,9;11,1
 10/2023;87,0;89,2;84,9;-9,8;3,1;-21,9;66,0;42,2
 11/2023;87,2;89,4;85,1;-9,3;3,8;-21,6;65,8;54,9
 12/2023;86,6;88,6;84,7;-10,6;1,8;-22,3;65,5;33,0
 01/2024;85,4;86,9;83,9;-13,3;-1,9;-24,1;67,5;14,8
 02/2024;85,8;87,0;84,7;-12,4;-1,7;-22,4;66,8;26,6
 03/2024;87,7;88,1;87,3;-8,3;0,7;-17,0;65,9;81,3
 04/2024;89,1;88,9;89,3;-5,3;2,5;-12,7;65,3;93,6
 05/2024;89,0;88,3;89,7;-5,5;1,1;-11,9;65,0;85,4
 06/2024;88,4;88,2;88,5;-6,8;1,1;-14,4;65,1;64,7
 07/2024;87,0;87,1;87,0;-9,8;-1,7;-17,6;64,5;23,1
 08/2024;86,6;86,4;86,9;-10,6;-3,2;-17,8;64,8;20,8
 09/2024;85,4;84,4;86,6;-13,2;-7,8;-18,5;65,7;9,4
 10/2024;86,5;85,6;87,4;-10,8;-4,9;-16,6;66,2;40,0
 11/2024;85,6;84,2;87,0;-12,9;-8,1;-17,5;65,9;23,2
 12/2024;84,7;85,0;84,4;-14,9;-6,3;-23,1;66,6;13,0
 01/2025;85,2;86,0;84,3;-13,9;-4,0;-23,2;65,5;26,9
 02/2025;85,3;85,0;85,6;-13,6;-6,4;-20,5;66,6;30,2
 03/2025;86,7;85,7;87,7;-10,5;-4,7;-16,2;65,9;69,9
 04/2025;86,9;86,4;87,4;-10,1;-3,1;-16,8;67,8;70,6
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
